**** 09/02/17 19:32:26 ****** PSpice Lite (October 2012) ****** ID# 10813 ****

 ** Profile: "Trabalho-sim"  [ c:\orcad\orcad_16.6_lite\eletronica-iv-trabalho-pspicefiles\trabalho\sim.sim ] 


 ****     FOURIER ANALYSIS                 TEMPERATURE =   27.000 DEG C


******************************************************************************



FOURIER COMPONENTS OF TRANSIENT RESPONSE V(VOUT)



 DC COMPONENT =  -2.3581E-02

 HARMONIC   FREQUENCY     FOURIER     NORMALIZED     PHASE     NORMALIZED
    NO         (HZ)      COMPONENT     COMPONENT     (DEG)     PHASE (DEG)

    65    6.5000E+04   9.3608E-05   7.3572E-06  -1.1007E+01  -9.0604E+01
    66    6.6000E+04   6.4818E-05   5.0944E-06   1.7656E+02   9.5739E+01
    67    6.7000E+04   7.1041E-05   5.5835E-06   2.2030E+01  -6.0016E+01
    68    6.8000E+04   7.4278E-05   5.8379E-06   1.6083E+02   7.7563E+01
    69    6.9000E+04   7.7873E-05   6.1205E-06   4.2512E+01  -4.1983E+01
    70    7.0000E+04   8.1736E-05   6.4241E-06   1.6338E+02   7.7658E+01
    71    7.1000E+04   7.9014E-05   6.2102E-06   6.3925E+01  -2.3019E+01
    72    7.2000E+04   9.7194E-05   7.6390E-06   1.5836E+02   7.0195E+01
    73    7.3000E+04   8.9802E-05   7.0580E-06   7.4869E+01  -1.4524E+01
    74    7.4000E+04   9.6644E-05   7.5958E-06   1.5210E+02   6.1477E+01
    75    7.5000E+04   1.1423E-04   8.9783E-06   9.6803E+01   4.9611E+00
    76    7.6000E+04   1.0936E-04   8.5955E-06   1.5503E+02   6.1967E+01
    77    7.7000E+04   1.2270E-04   9.6435E-06   1.0258E+02   8.2837E+00
    78    7.8000E+04   1.2106E-04   9.5151E-06   1.5668E+02   6.1162E+01
    79    7.9000E+04   1.4959E-04   1.1757E-05   1.1011E+02   1.3366E+01
    80    8.0000E+04   1.1139E-04   8.7549E-06   1.4856E+02   5.0598E+01
    81    8.1000E+04   1.6743E-04   1.3160E-05   1.1832E+02   1.9127E+01
    82    8.2000E+04   1.0964E-04   8.6172E-06   1.4627E+02   4.5853E+01
    83    8.3000E+04   1.9456E-04   1.5292E-05   1.1943E+02   1.7789E+01
    84    8.4000E+04   1.2029E-04   9.4540E-06   1.5265E+02   4.9785E+01
    85    8.5000E+04   2.1942E-04   1.7245E-05   1.1959E+02   1.5505E+01
    86    8.6000E+04   1.1429E-04   8.9830E-06   1.4585E+02   4.0539E+01
    87    8.7000E+04   2.3432E-04   1.8417E-05   1.1987E+02   1.3332E+01
    88    8.8000E+04   1.1751E-04   9.2362E-06   1.4886E+02   4.1102E+01
    89    8.9000E+04   2.6928E-04   2.1165E-05   1.2388E+02   1.4896E+01
    90    9.0000E+04   1.2613E-04   9.9135E-06   1.5002E+02   3.9807E+01
    91    9.1000E+04   2.8274E-04   2.2222E-05   1.2619E+02   1.4754E+01
    92    9.2000E+04   1.4668E-04   1.1528E-05   1.4905E+02   3.6389E+01
    93    9.3000E+04   2.9973E-04   2.3558E-05   1.2726E+02   1.3372E+01
    94    9.4000E+04   1.3939E-04   1.0955E-05   1.4312E+02   2.8006E+01
    95    9.5000E+04   3.3170E-04   2.6070E-05   1.2694E+02   1.0608E+01
    96    9.6000E+04   1.4734E-04   1.1581E-05   1.4280E+02   2.5244E+01
    97    9.7000E+04   3.4917E-04   2.7444E-05   1.2990E+02   1.1119E+01
    98    9.8000E+04   1.6446E-04   1.2926E-05   1.4067E+02   2.0668E+01
    99    9.9000E+04   3.5968E-04   2.8270E-05   1.3184E+02   1.0606E+01
   100    1.0000E+05   1.6621E-04   1.3063E-05   1.3879E+02   1.6330E+01


     TOTAL HARMONIC DISTORTION =   2.0867E-01 PERCENT


          JOB CONCLUDED
